Date,title,desc
2019-11-17,"Tesla casually updates Model 3 to be devilishly quickElon Musk tweets congratulations to FordFord Wants to Sell You an Electric S.U.V. It’s Called a Mustang.Mustang Mach-E: 5 Tech and Design Details That Stood OutFord unveils all-electric car - the MustangFord's Electric Mustang, A Gadget-Stealing Hack, and More NewsThe Mustang Mach-E is the exciting shape of the electric futureElon Musk said he's excited about Ford's $43,895 Mustang Mach-E electric SUV — here's how it will stack up against Tesla's $39,000 Model Y (TSLA, F)2021 Ford Mustang Mach-E vs. Audi E-Tron, Jaguar I-Pace and Tesla Model 3 - RoadshowFord Introduces Mustang Mach-E Electric Crossover","Tesla Model 3 is advertised as an affordable electric sedan, but it does pack a punch when it comes to performance, especially in the more expensive trim. But with a recent performance update, sent to Model 3 vehicles over-the-air (OTA), Tesla improved the ac…Ford unveiled its all-electric Ford Mustang Mach-E crossover SUV on Sunday, and Tesla CEO Elon Musk sent out a congratulatory tweet following the announcement.Automakers have made battery-powered cars largely to meet environmental rules. Now they’re putting more skin in the game.Ford finally showed the world its highly anticipated all-electric crossover, the Mustang Mach-E. The vehicle, which was unveiled Sunday at the Hawthorne Airport and in Tesla’s backyard, marks a series of firsts for Ford and the Mustang badge. It’s the first v…The new vehicle has a 370-mile range, no door handles and storage under the front bonnet.Catch up on the most important news from today in two minutes or less.Ford just unveiled its first EV and it’s stunning. Called the Mustang Mach-E it appears to get a lot of things right. From the branding to little surprises, the Mustang Mach-E looks to be a hit. “We knew we had to do something different and something exciting…Ford unveiled a new electric crossover SUV, the Mustang Mach-E, on Sunday in Los Angeles. Ford will release the vehicle next year. The Mustang Mach-E will start at $43,895. Tesla 's Model Y crossover SUV will be the Mustang Mach-E's most high-profile competit…Making a sporty electric car isn't just for luxury automakers.140Mandak262Jamuna writes: Battery electric vehicle (BEV) fans are all excited about the introduction of an all-electric SUV by Ford. Specs and pricing are very similar to Tesla. Interior also is very similar with a large touchscreen. Elon Musk congratulated …"
2019-11-18,"Four must-haves for the Tesla ‘Cybertruck’ all-electric pickup truckTesla casually updates Model 3 to be devilishly quickElon Musk tweets congratulations to FordThe world's largest battery is about to get even biggerFord Wants to Sell You an Electric S.U.V. It’s Called a Mustang.Mustang Mach-E: 5 Tech and Design Details That Stood OutFord unveils all-electric car - the MustangFord's Electric Mustang, A Gadget-Stealing Hack, and More NewsA Tesla Supercharger station caught fire at a Wawa in New Jersey (TSLA)The Mustang Mach-E is the exciting shape of the electric future","Tesla is set to unveil its pickup this week and it needs to be widely different from its current lineup. The current line of Tesla vehicles share a lot of parts, and, logically, the Tesla pickup will do the same. However, a truck has different demands than a …Tesla Model 3 is advertised as an affordable electric sedan, but it does pack a punch when it comes to performance, especially in the more expensive trim. But with a recent performance update, sent to Model 3 vehicles over-the-air (OTA), Tesla improved the ac…Ford unveiled its all-electric Ford Mustang Mach-E crossover SUV on Sunday, and Tesla CEO Elon Musk sent out a congratulatory tweet following the announcement.Tesla likes big batts and they cannot lie, and while I go and sit in the corner and think about what I just wrote, here's some related news for you. The world's largest grid-scale lithium ion battery is about to get 50 percent bigger, with the expansion of th…Automakers have made battery-powered cars largely to meet environmental rules. Now they’re putting more skin in the game.Ford finally showed the world its highly anticipated all-electric crossover, the Mustang Mach-E. The vehicle, which was unveiled Sunday at the Hawthorne Airport and in Tesla’s backyard, marks a series of firsts for Ford and the Mustang badge. It’s the first v…The new vehicle has a 370-mile range, no door handles and storage under the front bonnet.Catch up on the most important news from today in two minutes or less.A Tesla Supercharger station at a Wawa store in Parsippany, New Jersey, caught fire on Sunday, CNBC 's Lora Kolodny reported. A Wawa representative told CNBC that there was a problem with the store's Supercharger cabinet, which supplies power to the Superchar…Ford just unveiled its first EV and it’s stunning. Called the Mustang Mach-E it appears to get a lot of things right. From the branding to little surprises, the Mustang Mach-E looks to be a hit. “We knew we had to do something different and something exciting…"
2019-11-19,"Four must-haves for the Tesla ‘Cybertruck’ all-electric pickup truckThe world's largest battery is about to get even biggerVolkswagen's ID Space Vizzion electric concept car has no door handlesA Tesla Supercharger station caught fire at a Wawa in New Jersey (TSLA)Elon Musk said Tesla's pickup truck will be able to tow over 20 times more than a Ford F-150. Here are 8 other bold claims he's made about the truck. (TSLA)Elon Musk, Accused of Defaming Cave Explorer, Must Stand Trial, Judge SaysWhy the Mustang Mach-E reveal felt like a preview of 'Ford v Tesla'Mercedes prices its all-electric EQC crossover at $67,900Tesla begins rolling out its fast-charging V3 SuperchargersHow to watch Elon Musk unveil the Tesla Cybertruck, a new electric pickup truck","Tesla is set to unveil its pickup this week and it needs to be widely different from its current lineup. The current line of Tesla vehicles share a lot of parts, and, logically, the Tesla pickup will do the same. However, a truck has different demands than a …Tesla likes big batts and they cannot lie, and while I go and sit in the corner and think about what I just wrote, here's some related news for you. The world's largest grid-scale lithium ion battery is about to get 50 percent bigger, with the expansion of th…The concept car can go up to 300 miles on a single charge, boasts an impressive aerodynamic build, and is made with recycled materials — but don't look for something as basic as a door handle on the compact SUV-sized vehicle. Read more... More about Tesla, El…A Tesla Supercharger station at a Wawa store in Parsippany, New Jersey, caught fire on Sunday, CNBC 's Lora Kolodny reported. A Wawa representative told CNBC that there was a problem with the store's Supercharger cabinet, which supplies power to the Superchar…Tesla plans to unveil its pickup truck, which CEO Elon Musk has called the ""Cybertruck,"" on Thursday in Los Angeles. Musk has said he is more excited about the pickup truck than any other vehicle in Tesla 's future lineup. Musk has also made bold predictions …The explorer had filed a lawsuit last year after Mr. Musk accused him of being a “pedo guy.” Mr. Musk wanted the case thrown out.Ford made a few clear Tesla tweaks Sunday as it unveiled its new electric vehicle, the 2021 Mustang Mach-E, on Tesla turf.The Mercedes-Benz EQC 400 4MATIC, the German automaker’s first all-electric vehicle under its new EQ brand, will start at $67,900 when it arrives in the U.S. early next year. Mercedes-Benz announced Wednesday the price of the EQC 400 at the LA Auto Show. The …Tesla has rolled out the V3 Supercharger which has the capacity to fully charge a vehicle in as little as 15 minutes. A quick five minute charge can give an owner in a hurry a 75 mile range. Tesla is adding this new charging technology to its network of 12,00…Tesla CEO Elon Musk will unveil the company's much-anticipated Cybertruck electric pickup truck on Thursday evening, part of the company's push to break into a segment of the automobile market that's largely been ignored by electric carmakers. Here's how to w…"
2019-11-20,"What the Heck Is the Tesla Cybertruck? Let's WatchVolkswagen's ID Space Vizzion electric concept car has no door handlesTesla picks a fight with Detroit by going after the pickup marketElon Musk said Tesla's pickup truck will be able to tow over 20 times more than a Ford F-150. Here are 8 other bold claims he's made about the truck. (TSLA)Elon Musk, Accused of Defaming Cave Explorer, Must Stand Trial, Judge SaysMercedes prices its all-electric EQC crossover at $67,900Jim Chanos on Tesla: ‘We are still bears’How to watch Elon Musk unveil the Tesla Cybertruck, a new electric pickup truckThe Difference Between a First Mover and a Category CreatorUber's fall from grace, Equifax hacked, #MeToo: Tech scandals 2017-18 - CNET","Eager to challenge the dominance of Ford’s F-150, Elon Musk and company plan to unveil a pickup truck Thursday at 8 pm PT.The concept car can go up to 300 miles on a single charge, boasts an impressive aerodynamic build, and is made with recycled materials — but don't look for something as basic as a door handle on the compact SUV-sized vehicle. Read more... More about Tesla, El…Tesla Inc Chief Executive Elon Musk has talked for years about building an electric pickup truck that would threaten the heart of the Detroit automakers' profits, and on Thursday he will finally take the wraps off the so-called cyberpunk truck.Tesla plans to unveil its pickup truck, which CEO Elon Musk has called the ""Cybertruck,"" on Thursday in Los Angeles. Musk has said he is more excited about the pickup truck than any other vehicle in Tesla 's future lineup. Musk has also made bold predictions …The explorer had filed a lawsuit last year after Mr. Musk accused him of being a “pedo guy.” Mr. Musk wanted the case thrown out.The Mercedes-Benz EQC 400 4MATIC, the German automaker’s first all-electric vehicle under its new EQ brand, will start at $67,900 when it arrives in the U.S. early next year. Mercedes-Benz announced Wednesday the price of the EQC 400 at the LA Auto Show. The …Legendary short seller Jim Chanos dispels rumors he has covered his Tesla shorts, saying that Tesla “is and remains one of our biggest and our best short positions.”Tesla CEO Elon Musk will unveil the company's much-anticipated Cybertruck electric pickup truck on Thursday evening, part of the company's push to break into a segment of the automobile market that's largely been ignored by electric carmakers. Here's how to w…There’s more to breakthrough products than being first to market.The honeymoon is over for not just the ride-hailing company, but Twitter and Facebook too."
2019-11-21,"Tesla all-electric ATV makes a surprise debut at Cybertruck eventDaily Crunch: Tesla unveils its futuristic CybertruckBehold, the Tesla Cybertruck is hereWe have five questions about Tesla’s CybertruckTesla accidentally busted two windows on the Cybertruck while demonstrating how tough they areWhat the Heck Is the Tesla Cybertruck? Let's WatchYour Friday BriefingTesla Cybertruck first ride: inside Elon Musk’s electric pickup truckHere’s why the Tesla Cybertruck has its crazy lookIs Tesla's Cybertruck for Real? The Jury's Out","Tesla CEO Elon Musk definitely didn’t have the most issue-free presentation during last night’s Cybertruck unveil, but he did pull off a pretty impressive ‘one more thing moment’ – revealing a surprise all-electric all-terrain vehicle (ATV) that Tesla created…The Daily Crunch is TechCrunch’s roundup of our biggest and most important stories. If you’d like to get this delivered to your inbox every day at around 9am Pacific, you can subscribe here. 1. Behold, the Tesla Cybertruck is here Elon Musk has unveiled a veh…Elon Musk revealed Thursday evening the Tesla Cybertruck, a futuristic pickup truck made of cold-rolled steel that will start at $39,900 and have between 250 miles and more than 500 miles of range. Musk has talked about producing an all-electric pickup truck …Tesla just unveiled its first pickup truck, and the Cybertruck gets a lot of things right. The look is polarizing, but from a truck perspective, it’s capable, practical, and relatively affordable compared to other pickups. Of course, all those qualifiers come…Well, I don’t think that was supposed to happen. In what was one of the more surreal product launches I’ve seen, Tesla debuted its $39,900 Cybertruck pickup tonight. After running through some specs and hitting the truck’s door with a sledge hammer, Elon aske…Eager to challenge the dominance of Ford’s F-150, Elon Musk and company plan to unveil a pickup truck Thursday at 8 pm PT.Impeachment, Israel, Tesla: Here's what you need to know.Tesla unveiled the Cybertruck on Thursday night, which is the company’s first electric pickup truck due in 2021. The Verge got one of the first rides in the Blade Runner-style truck, which has a design that’s already incredibly polarizing.Elon Musk revealed the Cybertruck last night, saying it looks like nothing else on the market. That’s true, but the Cybertruck shares several key features with an unlikely pickup — the first-generation Honda Ridgeline. Both the Cybertruck and Honda Ridgeline …Elon Musk showed off a new vehicle. But the presentation lacked familiar Musk flourishes."
2019-11-22,"Tesla all-electric ATV makes a surprise debut at Cybertruck eventTesla Cybertruck reservations hit 146,000Why the Tesla Cybertruck Looks So WeirdDaily Crunch: Tesla unveils its futuristic CybertruckBehold, the Tesla Cybertruck is hereWe have five questions about Tesla’s CybertruckTesla accidentally busted two windows on the Cybertruck while demonstrating how tough they areYour Friday BriefingTesla Cybertruck first ride: inside Elon Musk’s electric pickup truckHere’s why the Tesla Cybertruck has its crazy look","Tesla CEO Elon Musk definitely didn’t have the most issue-free presentation during last night’s Cybertruck unveil, but he did pull off a pretty impressive ‘one more thing moment’ – revealing a surprise all-electric all-terrain vehicle (ATV) that Tesla created…Tesla has received 146,000 reservations to order the Tesla Cybertruck, pulling in some $14.6 million in deposits just two days after the company’s CEO Elon Musk unveiled the futuristic and angled vehicle. Reservations require a $100 refundable deposit. How ma…The pickup truck Elon Musk unveiled Thursday night features sharp angles, but no side mirrors or “crumple zone” to absorb the force of a collision.The Daily Crunch is TechCrunch’s roundup of our biggest and most important stories. If you’d like to get this delivered to your inbox every day at around 9am Pacific, you can subscribe here. 1. Behold, the Tesla Cybertruck is here Elon Musk has unveiled a veh…Elon Musk revealed Thursday evening the Tesla Cybertruck, a futuristic pickup truck made of cold-rolled steel that will start at $39,900 and have between 250 miles and more than 500 miles of range. Musk has talked about producing an all-electric pickup truck …Tesla just unveiled its first pickup truck, and the Cybertruck gets a lot of things right. The look is polarizing, but from a truck perspective, it’s capable, practical, and relatively affordable compared to other pickups. Of course, all those qualifiers come…Well, I don’t think that was supposed to happen. In what was one of the more surreal product launches I’ve seen, Tesla debuted its $39,900 Cybertruck pickup tonight. After running through some specs and hitting the truck’s door with a sledge hammer, Elon aske…Impeachment, Israel, Tesla: Here's what you need to know.Tesla unveiled the Cybertruck on Thursday night, which is the company’s first electric pickup truck due in 2021. The Verge got one of the first rides in the Blade Runner-style truck, which has a design that’s already incredibly polarizing.Elon Musk revealed the Cybertruck last night, saying it looks like nothing else on the market. That’s true, but the Cybertruck shares several key features with an unlikely pickup — the first-generation Honda Ridgeline. Both the Cybertruck and Honda Ridgeline …"
2019-11-23,"Tesla Cybertruck reservations hit 146,000Why the Tesla Cybertruck Looks So WeirdAfter Math: The future of transportation is electrifyingTesla cybertruck orders near 150000 just days after chaotic launch - ABS-CBN NewsMusk touts 146,000 orders for Tesla's electric pickup truck - CP24 Toronto's Breaking NewsTesla 'Cybertruck' has 146,000 orders despite launch mishap: Musk - CTV NewsTesla shares sink after pickup truck unveiled - NHK WORLDTesla now does sedans, SUVs, sports cars, semis, and pickups — here are 5 more segments for the company to attack (TSLA)Elon Musk says his Tesla truck glass stunt went fine - in rehearsal - The Straits Times'Saturday Night Live' delivers the most star-studded Democratic debate","Tesla has received 146,000 reservations to order the Tesla Cybertruck, pulling in some $14.6 million in deposits just two days after the company’s CEO Elon Musk unveiled the futuristic and angled vehicle. Reservations require a $100 refundable deposit. How ma…The pickup truck Elon Musk unveiled Thursday night features sharp angles, but no side mirrors or “crumple zone” to absorb the force of a collision.As we wrap up a week of LA Auto Show news, two themes become apparent: we are well on our way towards electric drivetrains being the rule rather than the exception, and you should always ensure that your unshatterable windows are indeed unshatterable before h…Tesla cybertruck orders near 150000 just days after chaotic launch ABS-CBN News Tesla cybertruck orders near 150K just days after chaotic launch INQUIRER.net Cybertruck Tesla Corrupt Values Will Eventually Implode Silicon Valley Townhall Cybertruck: Tesla tru…Musk touts 146,000 orders for Tesla's electric pickup truck CP24 Toronto's Breaking News Tesla 'Cybertruck' has 146,000 orders despite launch mishap: Musk CTV News Elon Musk says Tesla has received 187000 Cybertruck orders MobileSyrup Corrupt Values Will Even…Tesla 'Cybertruck' has 146,000 orders despite launch mishap: Musk CTV News A 'smashing' success? All the best reactions to Tesla’s provocative Cybertruck Driving Elon Musk says Tesla has received 146000 Cybertruck orders MobileSyrup Corrupt Values Will Eventu…Tesla shares sink after pickup truck unveiled NHK WORLD Oops! Elon Musk stunned by armoured glass windows shattering in live Tesla Cybertruck demo National Post Tesla launches new electric truck, taking aim at lucrative pickup market CBC.ca Cardboard box or B…Tesla unveiled its much-anticipated Cybertruck last week. Reaction was... mixed. But the arrival of the Cybertruck suggests some new, untapped vehicle segments that Tesla could move into. These include full-size SUVs, convertibles, and even motorsports. Sign …Elon Musk says his Tesla truck glass stunt went fine - in rehearsal The Straits Times Tesla Cybertruck — Pure Logic On Wheels CleanTechnica Elon Musk confirms Tesla's 'Cyberquad' as a Cybertruck accessory Engadget Watch Tesla's Cybertruck Launch Go Terribly W…Larry David, Maya Rudolph, Rachel Dratch, Woody Harrelson, and Fred Armisen, plus host Will Ferrell. You can't have a Democratic debate in 2019 unless you fill the stage with all 300 people vying to be the party's presidential candidate. And in Michael Bloomb…"
2019-11-24,"After Math: The future of transportation is electrifyingElon Musk says Tesla might make a smaller CybertruckFord VP challenges Tesla to a fair F-150 vs Cybertruck tow battleElon Musk explains why Tesla’s Cybertruck windows smashed during presentationTesla cybertruck orders near 150000 just days after chaotic launch - ABS-CBN NewsElon Musk shows up on Rick and Morty as, uh, Elon Tusk - CNETMusk touts 146,000 orders for Tesla's electric pickup truck - CP24 Toronto's Breaking NewsTesla 'Cybertruck' has 146,000 orders despite launch mishap: Musk - CTV NewsElon Musk: Tesla Cybertruck already has 200,000 pre-ordersFord challenges Tesla to an official truck tug of war - Driving","As we wrap up a week of LA Auto Show news, two themes become apparent: we are well on our way towards electric drivetrains being the rule rather than the exception, and you should always ensure that your unshatterable windows are indeed unshatterable before h…Tesla CEO Elon Musk is fond of making announcements on Twitter, but his tweetstorm on Sunday evening has been particularly revealing, even by his standards. Musk shared numerous factoids about the recently unveiled, polygon-shy Cybetruck, sort-of announced th…Elon Musk took a big swipe at Ford during the unveiling of the Cybertruck. Mid-presentation, he played a video of a Cybertruck pulling an F-150 in what was pitched as a head-to-head contest. Many have questioned if it was a fair fight (I don’t think it was)… …The unveiling of Tesla’s Cybertruck last week was full of surprises, but none more shocking than the moment when lead designer Franz von Holzhausen smashed two of the vehicle’s “armor glass” windows with a metal ball. Tesla CEO Elon Musk has now explained the…Tesla cybertruck orders near 150000 just days after chaotic launch ABS-CBN News Tesla cybertruck orders near 150K just days after chaotic launch INQUIRER.net Cybertruck Tesla Corrupt Values Will Eventually Implode Silicon Valley Townhall Cybertruck: Tesla tru…He's a little less controlling than the real Tesla founder.Musk touts 146,000 orders for Tesla's electric pickup truck CP24 Toronto's Breaking News Tesla 'Cybertruck' has 146,000 orders despite launch mishap: Musk CTV News Elon Musk says Tesla has received 187000 Cybertruck orders MobileSyrup Corrupt Values Will Even…Tesla 'Cybertruck' has 146,000 orders despite launch mishap: Musk CTV News A 'smashing' success? All the best reactions to Tesla’s provocative Cybertruck Driving Elon Musk says Tesla has received 146000 Cybertruck orders MobileSyrup Corrupt Values Will Eventu…The wedge-shaped truck is due out in late 2021, starting at $39,900.Ford challenges Tesla to an official truck tug of war Driving Elon Musk tweets Tesla Cybertruck orders have already hit 200,000 despite shattering windows Financial Post Elon Musk's Rick and Morty Cameo Finally Explains His 'Elon Tusk' Twitter Joke IGN Why Is…"
2019-11-25,"Ford says it has nothing to prove to Tesla in F-150 vs Cybertruck tow battleElon Musk says Tesla might make a smaller CybertruckFord VP challenges Tesla to a fair F-150 vs Cybertruck tow battleElon Musk promises Cybertruck vs. Ford F-150 rematch after controversyElon Musk explains why Tesla’s Cybertruck windows smashed during presentationMake your Tesla Cybertruck even uglier with these vinyl skinsLego trolls Tesla with its own 'shatterproof' truckIt's on: Tesla Cybertruck and Ford F-150 are going to warElon Musk shows up on Rick and Morty as, uh, Elon Tusk - CNETElon Musk: Tesla Cybertruck already has 200,000 pre-orders","It was the challenge heard around the electric vehicle world. And now it seems, the Ford F-150 versus Tesla Cybertruck tow battle that we were all ready for, probably won’t happen. A quick recap: Tesla CEO Elon Musk poked the figurative Dearborn, Michigan bea…Tesla CEO Elon Musk is fond of making announcements on Twitter, but his tweetstorm on Sunday evening has been particularly revealing, even by his standards. Musk shared numerous factoids about the recently unveiled, polygon-shy Cybetruck, sort-of announced th…Elon Musk took a big swipe at Ford during the unveiling of the Cybertruck. Mid-presentation, he played a video of a Cybertruck pulling an F-150 in what was pitched as a head-to-head contest. Many have questioned if it was a fair fight (I don’t think it was)… …A few days after Elon Musk unveiled Tesla’s new Cybertruck, he posted a video of the truck taking part in a tug of war with a Ford F-150, showing the electric Cybertruck easily overpowering the Ford pickup. But after accusations that the competition was unfai…The unveiling of Tesla’s Cybertruck last week was full of surprises, but none more shocking than the moment when lead designer Franz von Holzhausen smashed two of the vehicle’s “armor glass” windows with a metal ball. Tesla CEO Elon Musk has now explained the…So you've decided to buy a Tesla Cybertruck, but slate gray isn't your color. Luckily, for you, there's now a way to buy skins for your overpriced Blade Runner cosplay vehicle. Enter dbrand, maker of skins for your favorite tech toys, like iPhones and AirPods…Tesla's Cybertruck took another brutal hit when Lego stepped into the ring. The toy company posted a rudimentary car made of stacked bricks and plastic wheels to the company's Australian Facebook page on Monday. The image is similar to promotional images of t…Elon Musk has a beef with Ford. When the Tesla CEO initially announced the company's first electric pickup, the Cybertruck, Musk said it'll be ""better"" than a Ford F-150. After the unveiling, Musk shared a video of the Cybertruck towing a Ford F-150 uphill af…He's a little less controlling than the real Tesla founder.The wedge-shaped truck is due out in late 2021, starting at $39,900."
2019-11-26,"Ford says it has nothing to prove to Tesla in F-150 vs Cybertruck tow battleTesla Cybertruck hits 250,000 pre-ordersSimone Giertz of 'Truckla' fame has correct reaction to Tesla's CybertruckElon Musk promises Cybertruck vs. Ford F-150 rematch after controversyMake your Tesla Cybertruck even uglier with these vinyl skinsLego trolls Tesla with its own 'shatterproof' truckElon Musk's Cybertruck is an inside jokeIt's on: Tesla Cybertruck and Ford F-150 are going to warHow Tesla's Cybertruck stacks up against the Amazon-backed Rivian R1T electric truckDubai Police hinted it could add Tesla's new Cybertruck to its fleet of cars, which already includes Bugattis, Aston Martins, and Porsches","It was the challenge heard around the electric vehicle world. And now it seems, the Ford F-150 versus Tesla Cybertruck tow battle that we were all ready for, probably won’t happen. A quick recap: Tesla CEO Elon Musk poked the figurative Dearborn, Michigan bea…Despite the divisive design and not-fully-bulletproof windows, Tesla's futuristic Cybertruck is doing great, at least in terms of pre-orders. According to Tesla CEO Elon Musk, there have been 250,000 pre-orders for the vehicle so far. 250k — Elon Musk (@elonm…""Truckla"" was actually the ""first"" Tesla truck... for anyone keeping track. Earlier this year, YouTuber and maker Simone Giertz hacked a Model 3 into an all-electric truck. So, it was only fair that Giertz attend Tesla's Cybertruck unveiling in Los Angeles an…A few days after Elon Musk unveiled Tesla’s new Cybertruck, he posted a video of the truck taking part in a tug of war with a Ford F-150, showing the electric Cybertruck easily overpowering the Ford pickup. But after accusations that the competition was unfai…So you've decided to buy a Tesla Cybertruck, but slate gray isn't your color. Luckily, for you, there's now a way to buy skins for your overpriced Blade Runner cosplay vehicle. Enter dbrand, maker of skins for your favorite tech toys, like iPhones and AirPods…Tesla's Cybertruck took another brutal hit when Lego stepped into the ring. The toy company posted a rudimentary car made of stacked bricks and plastic wheels to the company's Australian Facebook page on Monday. The image is similar to promotional images of t…When Tesla CEO Elon Musk introduced the gleaming hunk of stainless steel that is the Cybertruck, I thought he was joking. The truck is real in the sense that there is at least one functioning version. I rode in it for three minutes last week at the Tesla Desi…Elon Musk has a beef with Ford. When the Tesla CEO initially announced the company's first electric pickup, the Cybertruck, Musk said it'll be ""better"" than a Ford F-150. After the unveiling, Musk shared a video of the Cybertruck towing a Ford F-150 uphill af…Tesla unveiled its newest offering, the Cybertruck, an all-electric pickup truck. The Cybertruck is not the only electric truck due for production; Amazon-backed American car manufacturer Rivian 's R1T is slated for production in late 2020. As neither car is …Dubai Police Dubai Police have suggested they plan to add Tesla's new Cybertruck to their impressive fleet of patrol cars. The force tweeted a photo of the Cybertruck covered with the Dubai Police logo and colorway on Tuesday. Dubai's police force already own…"
